Theta	Demes	TotalKappa	migration	mutation	frequency	growth	s	r	z	RatioCapacities	RatioMigration	replicates	Rescue	Error
100.00000	2.00000	20000.00000	0.00010	0.00005	0.00050	1.01000	0.10000	0.90000	0.02000	0.50000	0.50000	2000.00000	0.32950	0.02701
100.00000	2.00000	20000.00000	0.00010	0.00005	0.00005	1.01000	1.00000	0.90000	0.02000	0.50000	0.50000	2000.00000	0.05350	0.01293
100.00000	2.00000	20000.00000	0.00010	0.00005	0.00050	1.25000	0.10000	0.90000	0.02000	0.50000	0.50000	2000.00000	0.31400	0.02667
100.00000	2.00000	20000.00000	0.00010	0.00005	0.00005	1.25000	1.00000	0.90000	0.02000	0.50000	0.50000	2000.00000	0.06050	0.01370
100.00000	2.00000	20000.00000	0.00010	0.00005	0.00050	1.50000	0.10000	0.90000	0.02000	0.50000	0.50000	2000.00000	0.33250	0.02707
100.00000	2.00000	20000.00000	0.00010	0.00005	0.00005	1.50000	1.00000	0.90000	0.02000	0.50000	0.50000	2000.00000	0.04850	0.01235
100.00000	2.00000	20000.00000	0.00015	0.00005	0.00050	1.01000	0.10000	0.90000	0.02000	0.50000	0.50000	2000.00000	0.31950	0.02680
100.00000	2.00000	20000.00000	0.00015	0.00005	0.00005	1.01000	1.00000	0.90000	0.02000	0.50000	0.50000	2000.00000	0.05700	0.01332
100.00000	2.00000	20000.00000	0.00015	0.00005	0.00050	1.25000	0.10000	0.90000	0.02000	0.50000	0.50000	2000.00000	0.32800	0.02698
100.00000	2.00000	20000.00000	0.00015	0.00005	0.00005	1.25000	1.00000	0.90000	0.02000	0.50000	0.50000	2000.00000	0.06050	0.01370
100.00000	2.00000	20000.00000	0.00015	0.00005	0.00050	1.50000	0.10000	0.90000	0.02000	0.50000	0.50000	2000.00000	0.32200	0.02685
100.00000	2.00000	20000.00000	0.00015	0.00005	0.00005	1.50000	1.00000	0.90000	0.02000	0.50000	0.50000	2000.00000	0.06300	0.01396
100.00000	2.00000	20000.00000	0.00022	0.00005	0.00050	1.01000	0.10000	0.90000	0.02000	0.50000	0.50000	2000.00000	0.31550	0.02671
100.00000	2.00000	20000.00000	0.00022	0.00005	0.00005	1.01000	1.00000	0.90000	0.02000	0.50000	0.50000	2000.00000	0.06200	0.01386
100.00000	2.00000	20000.00000	0.00022	0.00005	0.00050	1.25000	0.10000	0.90000	0.02000	0.50000	0.50000	2000.00000	0.31500	0.02669
100.00000	2.00000	20000.00000	0.00022	0.00005	0.00005	1.25000	1.00000	0.90000	0.02000	0.50000	0.50000	2000.00000	0.05600	0.01321
